code,name,logo_url
AW,"Transport for Wales",https://www.nationalrail.co.uk/static/images/structure/TfW%20Logo%20Sm2.jpg
CC,c2c,https://www.nationalrail.co.uk/static/images/structure/TOC%20Logo/C2C.jpg
CS,"Caledonian Sleeper",https://www.nationalrail.co.uk/static/images/structure/TOC%20Logo/Sleeper2.jpg
CH,"Chiltern Railways",https://www.nationalrail.co.uk/static/images/structure/TOC%20Logo/ChilternRailways.jpg
XC,CrossCountry,https://www.nationalrail.co.uk/static/images/structure/TOC%20Logo/CROSSCOUNTRY.jpg
EM,"East Midlands Trains",https://www.nationalrail.co.uk/static/images/structure/TOC%20Logo/EMT.jpg
ES,Eurostar,https://www.nationalrail.co.uk/static/images/structure/TOC%20Logo/eurostar.jpg
GX,"Gatwick Express",https://www.nationalrail.co.uk/static/images/structure/TOC%20Logo/Gat_Ex_Logo2.jpg
XP,"Glasgow Prestwick Airport Ltd",https://www.nationalrail.co.uk/static/images/structure/Glasgow%20Prestwick%20Airport%20logo.jpg
GC,"Grand Central",https://www.nationalrail.co.uk/static/images/structure/TOC%20Logo/grand_central.jpg
GN,"Great Northern",https://www.nationalrail.co.uk/static/images/structure/TOC%20Logo/GREATNORTHERN.jpg
GW,"Great Western Railway",https://www.nationalrail.co.uk/static/images/structure/GWR.png
LE,"Greater Anglia",https://www.nationalrail.co.uk/static/images/structure/TOC%20Logo/greater%20anglia.jpg
HC,"Heathrow Connect",http://www.nationalrail.co.uk/static/images/structure/TOC%20Logo/HEC.jpg
HX,"Heathrow Express",https://www.nationalrail.co.uk/static/images/structure/TOC%20Logo/HEATHROW%20EXPRESS.gif
HT,"Hull Trains",https://www.nationalrail.co.uk/static/images/structure/TOC%20Logo/HULL.jpg
IL,"Island Line",https://www.nationalrail.co.uk/static/images/structure/TOC%20Logo/islandline.jpg
LN,"London Northwestern Railway",https://www.nationalrail.co.uk/static/images/structure/TOC%20Logo/LNR_SM.jpg
LO,"London Overground",https://www.nationalrail.co.uk/static/images/structure/TOC%20Logo/lorol2.jpg
LT,"London Underground",https://www.nationalrail.co.uk/static/images/structure/TOC%20Logo/London-Underground-logo-1024x768.jpg
ME,Merseyrail,https://www.nationalrail.co.uk/static/images/structure/TOC%20Logo/MERSEYRAIL.jpg
ZN,"National Rail",https://www.nationalrail.co.uk/static/images/structure/nationalrailenquiries.gif
NR,"Network Rail",https://www.nationalrail.co.uk/static/images/structure/Tocs/NR-logo.gif
NT,Northern,https://www.nationalrail.co.uk/static/images/structure/Northern2.jpg
SR,ScotRail,https://www.nationalrail.co.uk/static/images/structure/TOC%20Logo/SCOTRAIL.jpg
SW,"South Western Railway",https://www.nationalrail.co.uk/static/images/structure/swr3.jpg
SE,Southeastern,https://www.nationalrail.co.uk/static/images/structure/TOC%20Logo/SET.jpg
SN,Southern,https://www.nationalrail.co.uk/static/images/structure/TOC%20Logo/southern20logo20-20aug2009.jpg
SX,"Stansted Express",https://www.nationalrail.co.uk/static/images/structure/TOC%20Logo/STANSTEAD.jpg
XS,"Stobart Rail",https://www.nationalrail.co.uk/static/images/structure/Stobart%20rail%20logo_small.jpg
XR,"TfL Rail",https://www.nationalrail.co.uk/static/images/structure/TOC%20Logo/TFL.jpg
TL,Thameslink,https://www.nationalrail.co.uk/static/images/structure/TOC%20Logo/THAMESLINK.jpg
TP,"TransPennine Express",https://www.nationalrail.co.uk/static/images/structure/TOC%20Logo/TPE.jpg
VT,"Virgin Trains",https://www.nationalrail.co.uk/static/images/structure/TOC%20Logo/VTWC.jpg
GR,LNER,https://www.nationalrail.co.uk/static/images/structure/lner2.png
WM,"West Midlands Railway",https://www.nationalrail.co.uk/static/images/structure/TOC%20Logo/WMR_SM.jpg
LM,"West Midlands Trains",https://www.nationalrail.co.uk/static/images/structure/TOC%20Logo/Combined%20Logo%20-%20WMT2.jpg
AW,"Arriva Trains Wales",https://www.nationalrail.co.uk/static/images/structure/TfW%20Logo%20Sm2.jpg
GR,"London North Eastern Railway",NULL
